브랜드명,지점명,시도명,시군구명,주소
엔제리너스,충남태안점,충청남도,태안군,충청남도 태안군 태안읍 702-1
엔제리너스,서산터미널점,충청남도,서산시,충청남도 서산시 안견로 191
엔제리너스,시화거북섬,경기도,시흥시,"경기도 시흥시 거북섬5길4 114,115,206,207호"
엔제리너스,롯데마트송도점,인천광역시,연수구,인천광역시 연수구 컨벤시아대로 177 롯데마트
엔제리너스,홍성내포엘가점,충청남도,홍성군,충청남도 홍성군 홍학로 87 엘가프라자
엔제리너스,배곧테크노벨,경기도,시흥시,"경기도 시흥시 서울대학로 59-69  1층 138,139호"
엔제리너스,인천월미,인천광역시,중구,인천광역시 중구 월미문화로 71 월미비치타운
엔제리너스,화성남양,경기도,화성시,경기도 화성시 남양시장로24번길 7-1
엔제리너스,인천연수점,인천광역시,연수구,인천광역시 연수구 용담로 146
엔제리너스,롯데백인천터미널점,인천광역시,미추홀구,인천광역시 미추홀구 연남로 35 롯데백화점 인천터미널점 B1
엔제리너스,화성휴게소(상,경기도,화성시,경기도 화성시 팔탄면 서해안고속도로 302 1층 엔제리너스
엔제리너스,모다아울렛인천점,인천광역시,서구,인천광역시 서구 북항로32번안길 50 모다아울렛 인천점
엔제리너스,홈플러스인천작전TO,인천광역시,계양구,인천광역시 계양구 작전동 448-7
엔제리너스,롯데백중동식품관,경기도,부천시,"경기도 부천시 원미구 길주로  300, 지하1층(중동, 롯데백화점)"
엔제리너스,롯데백중동식당가,경기도,부천시,"경기도 부천시 원미구 길주로 300(중동,외1필지 롯데백화점10층)"
엔제리너스,인천계산점,인천광역시,계양구,인천광역시 계양구 계양문화로 90 새롬프라자
엔제리너스,호매실DI,경기도,수원시,경기도 수원시 권선구 칠보로 134
엔제리너스,대천점,충청남도,보령시,충청남도 보령시 해수욕장4길 28
엔제리너스,보령동대점,충청남도,보령시,충청남도 보령시 주공로 18
엔제리너스,수원고색DI점,경기도,수원시,경기도 수원시 권선구 고색동 484-3
엔제리너스,아산신정호수,충청남도,아산시,충청남도 아산시 신정호길 33-48 엔제리너스 아산신정호수
엔제리너스,만안구청,경기도,안양시,경기도 안양시 만안구 안양로 122
엔제리너스,롯데몰수원점,경기도,수원시,경기도 수원시 권선구 서둔동 296-3
엔제리너스,광명철산점,경기도,광명시,경기도 광명시 오리로 870
엔제리너스,김포통진DI점,경기도,김포시,경기도 김포시 통진읍 김포대로 2238 1F 엔제리너스
엔제리너스,롯데백수원식당가점,경기도,수원시,경기도 수원시 권선구 세화로 수원롯데백화점 7F
엔제리너스,수원AK몰점,경기도,수원시,경기도 수원시 팔달구 매산로1가 18
엔제리너스,수원역TO점,경기도,수원시,경기도 수원시 팔달구 덕영대로 924 AK플라자
엔제리너스,김포공항1층점,서울특별시,강서구,서울특별시 강서구 하늘길 112 김포공항
엔제리너스,빌라드샬롯카페(김포공항3층점,서울특별시,강서구,서울특별시 강서구 하늘길 112 김포국제공항 국내선청사 3층 출발장
엔제리너스,안양비산,경기도,안양시,경기도 안양시 동안구 관악대로 157 두성프라자
엔제리너스,롯데몰김포공항2호점,서울특별시,강서구,"서울특별시 강서구 하늘길 38 (김포공항, 롯데몰, 스카이시티)"
엔제리너스,롯데백평촌식당가점,경기도,안양시,경기도 안양시 동안구 시민대로 180 롯데백화점 7층
엔제리너스,롯데아울렛가산T/O점,서울특별시,금천구,서울특별시 금천구 벚꽃로  278 롯데아울렛가산점 1층
엔제리너스,롯데아울렛가산점,서울특별시,금천구,서울특별시 금천구 벚꽃로 278 롯데아울렛가산점 3층
엔제리너스,평촌범계점,경기도,안양시,경기도 안양시 동안구 평촌대로223번길 56 조원빌딩
엔제리너스,평촌아크로타워,경기도,안양시,경기도 안양시 동안구 시민대로 230 평촌아크로타워
엔제리너스,수원인계D/I점,경기도,수원시,경기도 수원시 팔달구 경수대로466번길 3
엔제리너스,수원호텔리츠점,경기도,수원시,경기도 수원시 팔달구 권광로134번길 44-11 수원호텔리츠 1층
엔제리너스,수원인계점,경기도,수원시,경기도 수원시 팔달구 권광로 187 대성프라자
엔제리너스,AK평택역사점,경기도,평택시,경기도 평택시 평택로 51 평택민자역사
엔제리너스,구로디지털역점,서울특별시,관악구,서울특별시 관악구 시흥대로 572
엔제리너스,동수원신협점,경기도,수원시,경기도 수원시 팔달구 중부대로 130
엔제리너스,신도림테크노마트점,서울특별시,구로구,서울특별시 구로구 구로동 3-25 신도림테크노마트 B1
엔제리너스,대학동점,서울특별시,관악구,서울특별시 관악구 호암로26길 40 모두랑하우스
엔제리너스,경기R&DB점,경기도,수원시,경기도 수원시 영통구 광교로 105 1층
엔제리너스,신림역점,서울특별시,관악구,서울특별시 관악구 남부순환로 1612
엔제리너스,오산연수원TO점,경기도,오산시,경기도 오산시 경기동로 168 롯데인재개발원
엔제리너스,롯데마트광교TO점,경기도,수원시,"경기도 수원시 영통구 센트럴타운로 85 광교시원호반베르디움, 써밋플레이스 광교"
엔제리너스,롯데영등포식당가,서울특별시,영등포구,서울특별시 영등포구 영등포동 618-496
엔제리너스,영등포점,서울특별시,영등포구,서울특별시 영등포구 영중로 6 영등포키스톤타워
엔제리너스,평택소사벌점,경기도,평택시,경기도 평택시 비전2로 195 티에스원 주차빌딩
엔제리너스,롯데아울렛광교점,경기도,수원시,경기도 수원시 영통구 이의동 1338
엔제리너스,롯데제과양평사옥,서울특별시,영등포구,서울특별시 영등포구 양평로21길 10 1층
엔제리너스,평택세무서점,경기도,평택시,경기도 평택시 죽백동 771
엔제리너스,서울대입구점,서울특별시,관악구,서울특별시 관악구 봉천동 856-6
엔제리너스,일산엠시티점,경기도,고양시,경기도 고양시 일산동구 백마로 195 엠시티타워&엠시티오피스텔
엔제리너스,용인유타워점,경기도,용인시,경기도 용인시 기흥구 영덕동 1029
엔제리너스,롯데마트아산점,충청남도,아산시,충청남도 아산시 광장로 210 요진 와이시티
엔제리너스,노량진점,서울특별시,동작구,서울특별시 동작구 노량진동 75-2번지 1~3번지
엔제리너스,여의도리버타워점,서울특별시,영등포구,서울특별시 영등포구 63로 36 리버타워
엔제리너스,상암YTN점,서울특별시,마포구,서울특별시 마포구 상암동 1607
엔제리너스,이수역점,서울특별시,동작구,서울특별시 동작구 동작대로25길 16 1층 엔제리너스
엔제리너스,홍대역점,서울특별시,마포구,서울특별시 마포구 양화로 140
엔제리너스,이수역점,서울특별시,동작구,서울특별시 동작구 동작대로25길 16
엔제리너스,대전대천안한방병원,충청남도,천안시,충청남도 천안시 서북구 두정로 172 준코
엔제리너스,롯데마트용인신갈점,경기도,용인시,경기도 용인시 기흥구 신갈동 62
엔제리너스,천안신방점,충청남도,천안시,충청남도 천안시 동남구 수곡2길 5 아랫목숯불갈비
엔제리너스,서강대점,서울특별시,마포구,서울특별시 마포구 백범로 29
엔제리너스,천안직산점,충청남도,천안시,충청남도 천안시 서북구 봉주로 72-1
엔제리너스,롯데아울렛고양점,경기도,고양시,경기도 고양시 덕양구 권율대로 420
엔제리너스,이대점,서울특별시,서대문구,서울특별시 서대문구 대현동 60-8
엔제리너스,천안신부점,충청남도,천안시,충청남도 천안시 동남구 먹거리10길 27
엔제리너스,동신병원점,서울특별시,서대문구,서울특별시 서대문구 연희로 276 동욱빌딩
엔제리너스,서울역KTX점,서울특별시,용산구,서울특별시 용산구 청파로 378 한국철도공사
엔제리너스,서울역사점,서울특별시,중구,서울특별시 중구 한강대로 405 경부고속철도서울민자역사
엔제리너스,강남역점,서울특별시,서초구,서울특별시 서초구 서초대로77길 24 강남 지웰타워2
엔제리너스,연신내역점,서울특별시,은평구,서울특별시 은평구 연서로 226-1
엔제리너스,불광역점,서울특별시,은평구,서울특별시 은평구 대조동 6-5
엔제리너스,용인쥬네브점,경기도,용인시,경기도 용인시 기흥구 동백죽전대로 444 쥬네브썬월드빌딩
엔제리너스,강남역사거리점,서울특별시,강남구,서울특별시 강남구 테헤란로 116 동경빌딩
엔제리너스,롯대백소공식당가점,서울특별시,중구,서울특별시 중구 남대문로 롯데백화점 본점 13층
엔제리너스,세종로점,서울특별시,종로구,서울특별시 종로구 세종로 155-4
엔제리너스,무교점,서울특별시,중구,서울특별시 중구 무교로 24
엔제리너스,명동점,서울특별시,중구,서울특별시 중구 명동3길 10
