브랜드명,지점명,시도명,시군구명,주소
이디야,남양주청학리점,경기도,남양주시,경기 남양주시 별내면 청학로중앙길 15
이디야,별내백상앨리츠점,경기도,남양주시,"경기 남양주시 별내중앙로 36-31 (별내동, 별내 백상앨리츠오피스텔 2차 )"
이디야,별내중앙점,경기도,남양주시,경기 남양주시 별내3로 76 (별내동)
이디야,남양주사능점,경기도,남양주시,경기 남양주시 진건읍 진건오남로 90
이디야,남양주사능점,경기도,남양주시,경기 남양주시 진건읍 진건오남로 90
이디야,남양주양지점,경기도,남양주시,경기 남양주시 오남읍 진건오남로 778
이디야,남양주오남역점,경기도,남양주시,경기 남양주시 오남읍 진건오남로 933 (양지리)
이디야,남양주오남점,경기도,남양주시,경기 남양주시 오남읍 진건오남로 522 (오남리)
이디야,남양주진벌점,경기도,남양주시,경기 남양주시 진접읍 진벌로 73 (진벌리)
이디야,남양주진접역점,경기도,남양주시,경기 남양주시 진접읍 경복대로 233 (금곡리)
이디야,진접센트레빌점,경기도,남양주시,경기 남양주시 진접읍 부평로 32 (진접센트레빌시티1단지)
이디야,진접이마트점,경기도,남양주시,경기 남양주시 진접읍 금강로유연들1길 154
이디야,진접장현리점,경기도,남양주시,경기 남양주시 진접읍 장현로 77
이디야,진접제일점,경기도,남양주시,경기 남양주시 진접읍 금강로 1529 (장현리)
이디야,진접중앙점,경기도,남양주시,경기 남양주시 진접읍 해밀예당3로 59
이디야,남양주가곡점,경기도,남양주시,경기 남양주시 화도읍 비룡로 337 (가곡리)
이디야,남양주마석가구공단점,경기도,남양주시,경기 남양주시 화도읍 경춘로 1718 (묵현리)
이디야,남양주마석점,경기도,남양주시,경기 남양주시 화도읍 비룡로 58
이디야,남양주마석초등학교점,경기도,남양주시,경기 남양주시 화도읍 수레로1260번길 11-1 (창현리)
이디야,남양주묵현점,경기도,남양주시,경기 남양주시 화도읍 먹갓로 31
이디야,남양주천마산점,경기도,남양주시,경기 남양주시 화도읍 경춘로 1815 (묵현리)
이디야,남양주화도점,경기도,남양주시,경기 남양주시 화도읍 경춘로 1890 (녹촌리)
이디야,마석역점,경기도,남양주시,경기 남양주시 화도읍 마석중앙로 101 (마석우리)
이디야,북한강2호점,경기도,남양주시,"경기 남양주시 화도읍 북한강로 1132-13 (금남리, 황토방)"
이디야,남양주가곡점,경기도,남양주시,경기 남양주시 화도읍 비룡로 337 (가곡리)
이디야,남양주마석가구공단점,경기도,남양주시,경기 남양주시 화도읍 경춘로 1718 (묵현리)
이디야,남양주마석점,경기도,남양주시,경기 남양주시 화도읍 비룡로 58
이디야,남양주마석초등학교점,경기도,남양주시,경기 남양주시 화도읍 수레로1260번길 11-1 (창현리)
이디야,남양주묵현점,경기도,남양주시,경기 남양주시 화도읍 먹갓로 31
이디야,남양주천마산점,경기도,남양주시,경기 남양주시 화도읍 경춘로 1815 (묵현리)
이디야,남양주화도점,경기도,남양주시,경기 남양주시 화도읍 경춘로 1890 (녹촌리)
이디야,마석역점,경기도,남양주시,경기 남양주시 화도읍 마석중앙로 101 (마석우리)
이디야,북한강2호점,경기도,남양주시,"경기 남양주시 화도읍 북한강로 1132-13 (금남리, 황토방)"
이디야,남양주가곡점,경기도,남양주시,경기 남양주시 화도읍 비룡로 337 (가곡리)
이디야,남양주마석가구공단점,경기도,남양주시,경기 남양주시 화도읍 경춘로 1718 (묵현리)
이디야,남양주마석점,경기도,남양주시,경기 남양주시 화도읍 비룡로 58
이디야,남양주마석초등학교점,경기도,남양주시,경기 남양주시 화도읍 수레로1260번길 11-1 (창현리)
이디야,남양주묵현점,경기도,남양주시,경기 남양주시 화도읍 먹갓로 31
이디야,남양주천마산점,경기도,남양주시,경기 남양주시 화도읍 경춘로 1815 (묵현리)
이디야,남양주화도점,경기도,남양주시,경기 남양주시 화도읍 경춘로 1890 (녹촌리)
이디야,마석역점,경기도,남양주시,경기 남양주시 화도읍 마석중앙로 101 (마석우리)
이디야,북한강2호점,경기도,남양주시,"경기 남양주시 화도읍 북한강로 1132-13 (금남리, 황토방)"
이디야,남양주시청점,경기도,남양주시,경기 남양주시 금곡로 50 (금곡동)
이디야,남양주DIMC한강테라타워점,경기도,남양주시,경기 남양주시 다산지금로 202 (다산동)
이디야,남양주다산에일린의뜰점,경기도,남양주시,경기 남양주시 다산지금로16번길 86 (다산동)
이디야,남양주다산역점,경기도,남양주시,경기 남양주시 다산중앙로123번길 22-16 (다산동)
이디야,남양주다산푸르지오점,경기도,남양주시,경기 남양주시 다산중앙로82번길 72-39 (다산동)
이디야,남양주다산한강초교점,경기도,남양주시,경기 남양주시 다산지금로146번길 8-31 (다산동)
이디야,남양주다산행정복지센터점,경기도,남양주시,경기 남양주시 다산중앙로20번길 10-40 (다산동)
이디야,다산부영점,경기도,남양주시,경기 남양주시 다산중앙로82번안길 122 (다산동)
이디야,다산아이파크점,경기도,남양주시,"경기 남양주시 다산중앙로172번길 38 (다산동, 다산진건지구 근생1-1-2)"
이디야,다산중앙점,경기도,남양주시,경기 남양주시 다산순환로 397-54 (다산동)
이디야,동탄2시범단지점,경기도,화성시,경기 화성시 동탄대로시범길 189 (청계동)
이디야,동탄2카림애비뉴점,경기도,화성시,"경기 화성시 동탄대로시범길 134 (청계동, 시범 반도유보라 아이비파크4.0)"
이디야,동탄IX타워점,경기도,화성시,"경기 화성시 동탄첨단산업1로 27 (영천동, 금강펜테리움 IX타워)"
이디야,동탄능동점,경기도,화성시,경기 화성시 동탄원천로 360 (능동)
이디야,동탄대로점,경기도,화성시,경기 화성시 동탄대로14길 5-11 (오산동)
이디야,동탄무봉산점,경기도,화성시,경기 화성시 동탄치동천로4길 6-58 (영천동)
이디야,동탄북광장점,경기도,화성시,"경기 화성시 동탄지성로 12 (반송동, 월드프라자)"
이디야,동탄산척점,경기도,화성시,경기 화성시 동탄순환대로14길 82-9 (산척동)
이디야,동탄산척중앙점,경기도,화성시,경기 화성시 동탄산척로2나길 10-11 (산척동)
이디야,동탄센트럴파크점,경기도,화성시,경기 화성시 동탄지성로 94 (반송동)
이디야,동탄솔빛나루점,경기도,화성시,"경기 화성시 동탄솔빛로 57 (반송동, 케이에이치스퀘어)"
