팀,이름,WAAwithADJ,출장,선발,이닝,기회,자살,보살,실책,수비율,RF9,RNG,E+,RAA,/133,POSADJ,RAAwithADJ,WAAw/oADJ
KIA,가뇽,0.185,2,28,159.2,26,8,18,0,1.0,1.47,1.53,0.32,1.96,14.67,0.0,1.96,0.185
KIA,고영창,-0.061,2,0,58.0,10,2,7,1,0.9,1.4,-0.47,-0.08,-0.64,-13.28,0.0,-0.64,-0.061
KIA,김규성,0.23800000000000002,113,69,798.4,464,200,252,12,2.908,14.850000000000001,1.17,-0.25,0.92,-8.540000000000001,1.66,2.5900000000000003,0.07699999999999997
KIA,김기훈,-0.098,1,7,52.0,7,1,4,2,0.714,0.87,-0.79,-0.3,-1.05,-24.11,0.0,-1.05,-0.098
KIA,김도영,0.134,90,60,567.2,219,76,130,13,0.941,3.27,0.58,-0.75,-0.17,-0.37,1.47,1.29,-0.018
KIA,김민식,1.34,108,137,1224.1,1086,968,109,9,2.972,24.66,2.25,-0.009999999999999981,2.98,10.809999999999999,10.61,13.59,0.29000000000000004
KIA,김석환,-0.132,38,22,204.2,60,60,0,0,1.0,2.64,0.54,0.17,-0.15,-0.89,-1.11,-1.26,-0.016
KIA,김선빈,0.23800000000000002,259,338,2775.3,1488,611,857,20,2.9619999999999997,14.530000000000001,-5.289999999999999,3.13,-2.1700000000000004,0.6800000000000002,4.81,2.65,-0.24000000000000002
KIA,김유신,-0.142,15,11,54.1,14,0,12,2,0.857,1.99,-1.16,-0.3,-1.44,-31.62,0.0,-1.44,-0.142
KIA,김태진,-0.116,93,141,1231.2,410,127,259,24,1.887,5.74,-2.3899999999999997,-1.01,-3.3899999999999997,-9.540000000000001,2.1399999999999997,-1.25,-0.32699999999999996
KIA,김호령,0.43399999999999994,106,96,964.2,291,278,8,5,2.9370000000000003,8.1,-1.77,-0.49,2.4299999999999997,13.160000000000002,1.6700000000000002,4.1,0.26899999999999996
KIA,나성범,-0.791,132,132,1131.2,230,223,4,3,0.987,1.81,0.2,0.32,-2.08,-2.2,-5.77,-7.85,-0.209
KIA,나주환,-0.017,15,62,553.2,181,60,112,9,1.944,6.24,-0.8799999999999999,-0.13999999999999999,-0.9999999999999999,15.639999999999999,0.76,-0.2499999999999999,-0.089
KIA,나지완,-1.867,26,152,1194.2,248,244,3,1,1.995,3.79,-9.71,0.45,-13.17,-37.9,-6.54,-19.71,-1.252
KIA,놀린,-0.075,21,21,124.0,22,2,19,1,0.955,1.52,-0.9,0.11,-0.73,-7.0,0.0,-0.73,-0.075
KIA,류지혁,-0.396,205,184,1622.4,807,541,245,21,1.947,9.059999999999999,-2.08,0.16999999999999998,-1.9100000000000001,-3.09,-2.07,-3.98,-0.192
KIA,멩덴,0.052,21,21,120.0,21,7,14,0,1.0,1.58,0.25,0.22,0.53,5.24,0.0,0.53,0.052
KIA,박동원,0.887,107,92,818.0,736,665,67,4,0.995,8.05,-0.77,0.4,1.8,2.64,6.79,8.59,0.186
KIA,박민,0.14,13,11,94.2,39,13,24,2,0.949,3.52,0.93,-0.04,0.9,11.32,0.48,1.37,0.091
KIA,박정우,0.041,28,16,159.0,48,47,1,0,1.0,2.72,0.32,0.08,0.33,2.49,0.07,0.4,0.033
KIA,박준표,-0.021,3,0,51.2,11,6,4,1,0.909,1.74,-0.16,-0.1,-0.23,-5.27,0.0,-0.23,-0.021
KIA,박진태,0.014,59,0,65.0,8,0,8,0,1.0,1.11,0.25,0.12,0.14,2.6,0.0,0.14,0.014
KIA,박찬호,2.013,256,391,3379.2999999999997,1725,618,1046,61,2.893,13.29,2.91,-0.05999999999999995,2.84,2.77,17.38,20.21,0.279
