순위,이름,팀,WAAwithADJ,출장,선발,이닝,기회,자살,보살,실책,수비율,RF9,RNG,ARM,CS,BLK,E+,RAA,/133,POSADJ,RAAwithADJ,WAAw/oADJ
1,최지훈,22SCF, 1.909 , 142 ,138.0,1239.1, 336 , 324 ,11.0,1.0, .997 , 2.43 ,10.61,7.29, 0.00 , 0.00 ,0.63,18.53, 17.90 , -0.05 ,18.48,1.914
2,박해민,22LCF, 1.858 , 144 ,142.0,1206.0, 361 , 356 ,3.0,2.0, .995 , 2.68 ,14.97,0.52, 0.00 , 0.00 ,0.39,15.88, 15.76 , 1.98 ,17.86,1.652
3,김혜성,22키2B, 1.320 , 127 ,123.0,1085.2, 676 , 296 ,369.0,11.0, .984 , 5.51 ,10.32,0.0, 0.00 , 0.00 ,0.7,11.02, 12.15 , 1.83 ,12.85,1.132
4,오지환,22LSS, 1.275 , 142 ,137.0,1167.0, 584 , 210 ,359.0,15.0, .974 , 4.39 ,4.97,0.0, 0.00 , 0.00 ,1.63,6.6, 6.77 , 5.87 ,12.47,0.674
5,이정후,22키CF, 1.223 , 134 ,132.0,1155.1, 313 , 304 ,7.0,2.0, .994 , 2.42 ,4.79,5.06, 0.00 , 0.00 ,0.35,10.21, 10.57 , 1.97 ,12.18,1.025
6,하주석,22한SS, 1.196 , 110 ,104.0,900.0, 432 , 136 ,277.0,19.0, .956 , 4.13 ,7.26,0.0, 0.00 , 0.00 ,-0.23,7.03, 9.34 , 4.42 ,11.44,0.734
7,송성문,22키3B, 1.120 , 139 ,137.0,1220.0, 356 , 92 ,249.0,15.0, .958 , 2.52 ,8.13,0.0, 0.00 , 0.00 ,0.62,8.75, 8.59 , 1.99 ,10.74,0.913
8,김주원,22NSS, 1.053 , 92 ,81.0,731.1, 410 , 166 ,233.0,11.0, .973 , 4.91 ,6.25,0.0, 0.00 , 0.00 ,0.58,6.83, 11.18 , 3.31 ,10.14,0.71
9,박동원,22키KC, 1.017 , 114 ,98.0,866.0, 778 , 703 ,70.0,5.0, .994 , 8.03 ,0.08,0.0, 1.51 , 0.80 ,0.27,2.66, 3.68 , 7.18 ,9.84,0.275
10,양의지,22NC, 0.992 , 96 ,89.0,736.2, 744 , 688 ,54.0,2.0, .997 , 9.07 ,2.14,0.0, 1.21 , -0.51 ,0.68,3.53, 5.73 , 6.18 ,9.7,0.361
11,이지영,22키C, 0.945 , 137 ,102.0,994.2, 905 , 818 ,76.0,11.0, .988 , 8.09 ,-0.36,0.0, 1.00 , 0.98 ,-0.75,0.89, 1.07 , 8.17 ,9.06,0.093
12,박찬호,22KSS, 0.890 , 130 ,129.0,1115.1, 579 , 215 ,342.0,22.0, .962 , 4.50 ,3.09,0.0, 0.00 , 0.00 ,0.01,3.09, 3.32 , 5.50 ,8.59,0.321
13,심우준,22KSS, 0.889 , 129 ,124.0,1048.1, 525 , 211 ,298.0,16.0, .970 , 4.37 ,2.4,0.0, 0.00 , 0.00 ,0.96,3.35, 3.83 , 5.18 ,8.53,0.349
14,강민호,22삼C, 0.822 , 96 ,84.0,714.1, 590 , 547 ,39.0,4.0, .993 , 7.38 ,0.03,0.0, 0.56 , 1.19 ,0.24,2.02, 3.39 , 5.91 ,7.93,0.209
15,유강남,22LC, 0.817 , 135 ,116.0,1008.1, 899 , 821 ,71.0,7.0, .992 , 7.96 ,0.48,0.0, -2.31 , 1.30 ,0.07,-0.45, -0.54 , 8.34 ,7.88,-0.047
16,최재훈,22한C, 0.798 , 106 ,101.0,853.2, 725 , 644 ,78.0,3.0, .996 , 7.61 ,-0.99,0.0, 0.96 , 0.02 ,0.65,0.64, 0.89 , 7.04 ,7.68,0.066
17,오태곤,22SLF, 0.779 , 125 ,63.0,673.2, 268 , 243 ,24.0,1.0, .996 , 3.57 ,6.75,3.94, 0.00 , 0.00 ,0.41,11.1, 19.72 , -3.65 ,7.45,1.161
18,박정현,22한SS, 0.756 , 76 ,53.0,500.1, 307 , 172 ,127.0,8.0, .974 , 5.38 ,6.92,-0.0, 0.00 , 0.00 ,-0.03,6.89, 16.48 , 0.32 ,7.2,0.723
19,문보경,22L3B, 0.752 , 125 ,113.0,1006.2, 439 , 277 ,155.0,7.0, .984 , 3.86 ,6.91,0.0, 0.00 , 0.00 ,1.32,8.23, 9.78 , -0.90 ,7.33,0.844
20,문성주,22LRF, 0.663 , 59 ,49.0,456.1, 129 , 125 ,4.0,0.0, 1.000 , 2.54 ,8.05,0.32, 0.00 , 0.00 ,0.34,8.71, 22.85 , -2.27 ,6.44,0.897
21,장성우,22KC, 0.631 , 101 ,87.0,763.2, 707 , 661 ,39.0,7.0, .990 , 8.25 ,-1.4,0.0, -0.13 , 1.59 ,-0.28,-0.23, -0.36 , 6.38 ,6.15,-0.023
22,박세혁,22두C, 0.622 , 126 ,110.0,884.0, 762 , 689 ,68.0,5.0, .993 , 7.71 ,-0.09,0.0, -0.99 , -0.52 ,0.29,-1.3, -1.76 , 7.28 ,5.98,-0.136
23,김태군,22삼C, 0.607 , 69 ,40.0,390.0, 347 , 323 ,23.0,1.0, .997 , 7.99 ,0.56,0.0, 1.47 , 0.23 ,0.37,2.63, 8.06 , 3.23 ,5.85,0.272
24,이도윤,22한SS, 0.562 , 66 ,27.0,306.2, 132 , 45 ,81.0,6.0, .955 , 3.70 ,4.68,0.0, 0.00 , 0.00 ,-0.21,4.48, 17.47 , 0.87 ,5.35,0.471
25,최정,22S3B, 0.553 , 117 ,115.0,958.1, 254 , 72 ,170.0,12.0, .953 , 2.27 ,3.37,0.0, 0.00 , 0.00 ,0.45,3.82, 4.77 , 1.61 ,5.43,0.389
26,이학주,22롯SS, 0.536 , 86 ,68.0,616.0, 332 , 119 ,200.0,13.0, .961 , 4.66 ,2.23,0.0, 0.00 , 0.00 ,-0.16,2.08, 4.04 , 3.01 ,5.09,0.219
27,홍현빈,22KRF, 0.525 , 59 ,24.0,253.2, 66 , 62 ,3.0,1.0, .985 , 2.31 ,5.84,0.16, 0.00 , 0.00 ,-0.01,5.99, 28.28 , -0.98 ,5.01,0.627
