팀,이름,WAR,G,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,타율,출루,장타,OPS,wOBA,wRC+,WAR*,WPA
KIA,고종욱,0.4,62,114,106,13,30,7,1,2,45,14,1,0,7,0,0,21,2,1,0.283,0.327,0.425,0.752,0.341,110.4,0.4,0.63
KIA,김규성,-1.53,227,275,243,43,42,3,2,4,61,17,2,2,19,1,0,69,1,12,0.497,0.6859999999999999,0.7080000000000001,1.394,0.655,59.400000000000006,-1.53,-2.93
KIA,김도영,0.72,103,254,224,37,53,11,4,3,81,19,13,3,22,3,0,62,3,4,0.237,0.312,0.362,0.674,0.309,88.1,0.72,-0.53
KIA,김민식,0.8099999999999999,191,600,514,59,120,16,1,6,156,53,0,0,64,6,1,89,6,10,0.709,0.9550000000000001,0.935,1.891,0.889,216.5,0.8099999999999999,-1.26
KIA,김석환,-0.39,51,107,94,15,14,2,0,3,25,7,0,0,10,3,0,32,1,0,0.149,0.252,0.266,0.518,0.25,47.0,-0.39,-1.07
KIA,김선빈,8.559999999999999,355,1502,1309,148,399,74,0,9,500,165,14,3,161,9,2,129,45,9,0.9239999999999999,1.154,1.155,2.308,1.085,346.7,8.559999999999999,5.5200000000000005
KIA,김태진,0.07000000000000006,144,606,561,61,149,16,5,1,178,53,13,7,32,1,1,87,9,7,0.52,0.597,0.6080000000000001,1.2040000000000002,0.5660000000000001,120.7,0.07000000000000006,-1.22
KIA,김호령,0.94,204,401,345,73,80,8,3,9,121,39,9,5,37,9,0,121,8,9,0.7130000000000001,0.9690000000000001,1.05,2.02,0.929,243.6,0.94,-2.01
KIA,나성범,6.5,144,649,563,92,180,39,2,21,286,97,6,1,64,17,6,137,7,0,0.32,0.402,0.508,0.91,0.411,157.4,6.5,3.74
KIA,나주환,0.13,83,254,235,21,62,5,0,6,85,29,0,0,12,1,0,56,8,4,0.44000000000000006,0.477,0.553,1.031,0.47,55.50000000000001,0.13,-0.97
KIA,나지완,2.88,168,658,549,76,149,20,1,17,222,99,0,0,78,24,1,143,9,0,0.45099999999999996,0.716,0.617,1.333,0.655,178.0,2.88,3.99
