순위,이름,팀,WAR,G,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,wOBA,wRC+,WAR*,WPA
1,강민호,23삼C, 1.37 , 23 , 93 , 83 , 12 , 29 , 6 , 0 , 3 , 44 , 14 , 2 , 0 , 8 , 2 , 0 , 15 , 3 , 0 , 0 , .349 , .419 , .530 , .950 , .446 , 174.4 , 1.37 , 0.72 
2,알포드,23KLF, 1.28 , 22 , 98 , 87 , 16 , 32 , 8 , 0 , 3 , 49 , 10 , 3 , 1 , 10 , 1 , 0 , 24 , 1 , 0 , 0 , .368 , .439 , .563 , 1.002 , .468 , 189.0 , 1.28 , 0.29 
3,김현수,23LDH, 1.22 , 23 , 97 , 80 , 14 , 32 , 8 , 0 , 1 , 43 , 17 , 1 , 0 , 15 , 0 , 1 , 6 , 2 , 0 , 2 , .400 , .485 , .538 , 1.022 , .476 , 200.2 , 1.22 , 1.22 
4,이원석,23삼키3B, 1.15 , 22 , 85 , 71 , 7 , 28 , 5 , 0 , 1 , 36 , 11 , 0 , 1 , 14 , 0 , 0 , 11 , 1 , 0 , 0 , .394 , .494 , .507 , 1.001 , .478 , 198.5 , 1.15 , 0.71 
5,노시환,23한3B, 1.13 , 24 , 107 , 95 , 14 , 30 , 8 , 0 , 2 , 44 , 10 , 0 , 0 , 12 , 0 , 0 , 23 , 2 , 0 , 0 , .316 , .393 , .463 , .856 , .406 , 149.6 , 1.13 , 1.24 
6,러셀,23키SS, 1.11 , 21 , 86 , 79 , 10 , 27 , 6 , 0 , 2 , 39 , 24 , 1 , 0 , 6 , 1 , 0 , 14 , 0 , 0 , 0 , .342 , .395 , .494 , .889 , .420 , 166.7 , 1.11 , 2.05 
7,오스틴,23L1B, 1.08 , 26 , 109 , 97 , 15 , 34 , 6 , 0 , 2 , 46 , 20 , 2 , 1 , 9 , 1 , 0 , 18 , 2 , 0 , 2 , .351 , .404 , .474 , .878 , .414 , 159.5 , 1.08 , 1.60 
8,최정,23S3B, 1.03 , 24 , 108 , 91 , 19 , 25 , 6 , 0 , 4 , 43 , 20 , 1 , 0 , 13 , 2 , 1 , 21 , 3 , 1 , 1 , .275 , .374 , .473 , .846 , .390 , 137.6 , 1.03 , 0.99 
9,구자욱,23삼RF, 1.02 , 24 , 110 , 93 , 16 , 31 , 8 , 0 , 2 , 45 , 12 , 5 , 2 , 13 , 1 , 0 , 16 , 1 , 0 , 3 , .333 , .409 , .484 , .893 , .418 , 156.5 , 1.02 , 0.56 
10,김혜성,23키2B, 1.01 , 23 , 103 , 96 , 19 , 31 , 7 , 1 , 0 , 40 , 6 , 8 , 0 , 6 , 0 , 0 , 12 , 0 , 0 , 1 , .323 , .359 , .417 , .776 , .369 , 125.8 , 1.01 , 0.51 
11,문보경,23L3B, 0.98 , 26 , 115 , 91 , 17 , 27 , 4 , 1 , 1 , 36 , 16 , 4 , 1 , 18 , 1 , 1 , 19 , 1 , 3 , 2 , .297 , .411 , .396 , .806 , .377 , 131.2 , 0.98 , 0.88 
12,양석환,23두1B, 0.98 , 22 , 94 , 86 , 13 , 27 , 4 , 0 , 6 , 49 , 16 , 1 , 0 , 5 , 1 , 0 , 15 , 3 , 0 , 2 , .314 , .351 , .570 , .921 , .419 , 167.4 , 0.98 , 0.14 
13,최지훈,23SCF, 0.95 , 22 , 99 , 88 , 16 , 31 , 6 , 0 , 0 , 37 , 6 , 2 , 0 , 7 , 1 , 0 , 9 , 1 , 2 , 1 , .352 , .402 , .420 , .823 , .387 , 140.4 , 0.95 , 0.75 
14,문성주,23LRF, 0.94 , 26 , 124 , 106 , 19 , 37 , 3 , 0 , 1 , 43 , 8 , 5 , 6 , 15 , 1 , 0 , 10 , 4 , 0 , 2 , .349 , .427 , .406 , .833 , .404 , 149.6 , 0.94 , -0.05 
15,박동원,23LC, 0.90 , 25 , 97 , 81 , 10 , 19 , 2 , 0 , 4 , 33 , 10 , 0 , 0 , 15 , 0 , 0 , 16 , 1 , 0 , 1 , .235 , .351 , .407 , .758 , .361 , 129.0 , 0.90 , -0.07 
16,채은성,23한RF, 0.86 , 24 , 105 , 94 , 12 , 30 , 4 , 0 , 4 , 46 , 20 , 0 , 0 , 7 , 3 , 2 , 18 , 2 , 0 , 1 , .319 , .381 , .489 , .870 , .402 , 146.3 , 0.86 , 1.55 
17,에레디아,23SLF, 0.84 , 24 , 103 , 94 , 12 , 33 , 7 , 0 , 2 , 46 , 19 , 3 , 5 , 8 , 0 , 0 , 11 , 4 , 1 , 0 , .351 , .402 , .489 , .891 , .418 , 159.3 , 0.84 , 0.87 
18,김주원,23NSS, 0.79 , 26 , 100 , 89 , 10 , 25 , 2 , 1 , 3 , 38 , 13 , 4 , 1 , 8 , 1 , 1 , 34 , 0 , 2 , 0 , .281 , .347 , .427 , .774 , .357 , 118.7 , 0.79 , 0.11 
19,박민우,23N2B, 0.76 , 23 , 94 , 82 , 13 , 25 , 2 , 1 , 0 , 29 , 9 , 7 , 2 , 8 , 4 , 1 , 13 , 1 , 0 , 0 , .305 , .394 , .354 , .747 , .366 , 125.9 , 0.76 , 0.44 
20,김휘집,23키3B, 0.76 , 21 , 77 , 62 , 6 , 15 , 6 , 0 , 2 , 27 , 8 , 0 , 0 , 14 , 0 , 0 , 18 , 1 , 1 , 0 , .242 , .382 , .435 , .817 , .384 , 141.9 , 0.76 , 0.10 
21,안권수,23롯LF, 0.74 , 22 , 95 , 85 , 10 , 27 , 3 , 1 , 2 , 38 , 12 , 4 , 4 , 8 , 0 , 0 , 11 , 1 , 0 , 2 , .318 , .368 , .447 , .816 , .383 , 131.8 , 0.74 , 0.63 
22,최형우,23KDH, 0.73 , 22 , 89 , 76 , 11 , 24 , 5 , 0 , 3 , 38 , 12 , 0 , 0 , 12 , 1 , 0 , 14 , 2 , 0 , 0 , .316 , .416 , .500 , .916 , .432 , 171.3 , 0.73 , 1.66 
23,오지환,23LSS, 0.72 , 13 , 57 , 47 , 6 , 14 , 7 , 1 , 0 , 23 , 14 , 4 , 1 , 7 , 2 , 0 , 10 , 0 , 0 , 1 , .298 , .404 , .489 , .893 , .417 , 158.1 , 0.72 , 1.21 
24,양의지,23두C, 0.71 , 24 , 94 , 81 , 6 , 23 , 5 , 0 , 1 , 31 , 10 , 1 , 0 , 10 , 3 , 0 , 10 , 4 , 0 , 0 , .284 , .383 , .383 , .766 , .374 , 131.6 , 0.71 , -0.06 
25,정수빈,23두CF, 0.67 , 24 , 94 , 76 , 9 , 21 , 2 , 1 , 0 , 25 , 5 , 5 , 3 , 14 , 2 , 1 , 10 , 1 , 2 , 0 , .276 , .402 , .329 , .731 , .355 , 116.0 , 0.67 , 0.27 
26,홍창기,23LLF, 0.67 , 26 , 128 , 102 , 17 , 29 , 6 , 1 , 0 , 37 , 11 , 6 , 7 , 19 , 5 , 0 , 21 , 3 , 1 , 1 , .284 , .417 , .363 , .780 , .383 , 134.1 , 0.67 , -0.27 
27,렉스,23롯RF, 0.65 , 21 , 92 , 78 , 13 , 23 , 3 , 1 , 2 , 34 , 17 , 0 , 0 , 13 , 0 , 1 , 25 , 2 , 0 , 1 , .295 , .391 , .436 , .827 , .390 , 136.2 , 0.65 , 0.91 
28,류지혁,23K3B, 0.64 , 22 , 80 , 72 , 7 , 24 , 3 , 0 , 0 , 27 , 5 , 2 , 1 , 7 , 0 , 0 , 18 , 2 , 0 , 1 , .333 , .388 , .375 , .763 , .370 , 127.3 , 0.64 , -0.19 
29,도태훈,23N3B, 0.63 , 20 , 49 , 36 , 10 , 10 , 1 , 0 , 1 , 14 , 3 , 1 , 0 , 8 , 4 , 0 , 9 , 2 , 1 , 0 , .278 , .458 , .389 , .847 , .413 , 156.2 , 0.63 , 0.04 
30,김재환,23두DH, 0.61 , 23 , 86 , 70 , 11 , 19 , 6 , 0 , 2 , 31 , 10 , 0 , 1 , 15 , 1 , 0 , 19 , 0 , 0 , 0 , .271 , .407 , .443 , .850 , .407 , 156.0 , 0.61 , 1.01 
31,강백호,23KRF, 0.57 , 23 , 105 , 93 , 18 , 26 , 4 , 0 , 4 , 42 , 13 , 0 , 0 , 10 , 0 , 0 , 18 , 0 , 0 , 2 , .280 , .343 , .452 , .795 , .371 , 125.8 , 0.57 , -0.20 
32,이원석,23한CF, 0.57 , 20 , 60 , 45 , 8 , 11 , 1 , 0 , 0 , 12 , 4 , 7 , 0 , 15 , 0 , 0 , 13 , 1 , 0 , 0 , .244 , .433 , .267 , .700 , .368 , 124.9 , 0.57 , 0.31 
33,박성한,23SSS, 0.57 , 22 , 91 , 72 , 8 , 14 , 3 , 0 , 2 , 23 , 6 , 1 , 0 , 18 , 0 , 0 , 9 , 1 , 0 , 1 , .194 , .352 , .319 , .671 , .334 , 99.8 , 0.57 , 0.17 
34,이형종,23키RF, 0.56 , 23 , 105 , 91 , 13 , 24 , 9 , 1 , 1 , 38 , 11 , 0 , 0 , 8 , 5 , 0 , 22 , 3 , 1 , 0 , .264 , .356 , .418 , .773 , .366 , 125.2 , 0.56 , -0.18 
35,허경민,23두3B, 0.56 , 22 , 92 , 79 , 10 , 21 , 3 , 0 , 1 , 27 , 7 , 3 , 0 , 11 , 1 , 2 , 2 , 3 , 0 , 1 , .266 , .359 , .342 , .701 , .335 , 104.2 , 0.56 , -0.18 
36,김민혁,23KCF, 0.55 , 22 , 82 , 72 , 12 , 23 , 3 , 1 , 0 , 28 , 6 , 0 , 0 , 9 , 0 , 0 , 10 , 1 , 1 , 0 , .319 , .395 , .389 , .784 , .376 , 127.4 , 0.55 , 0.02 
37,김지찬,23삼2B, 0.54 , 23 , 92 , 80 , 17 , 23 , 0 , 0 , 0 , 23 , 3 , 1 , 0 , 10 , 2 , 0 , 12 , 0 , 0 , 0 , .288 , .380 , .288 , .668 , .339 , 105.0 , 0.54 , -0.29 
38,김선빈,23K2B, 0.54 , 20 , 68 , 58 , 5 , 18 , 3 , 0 , 0 , 21 , 6 , 0 , 0 , 8 , 1 , 0 , 4 , 1 , 1 , 0 , .310 , .403 , .362 , .765 , .372 , 128.1 , 0.54 , 0.21 
39,고승민,23롯1B, 0.53 , 20 , 85 , 71 , 17 , 19 , 5 , 0 , 1 , 27 , 8 , 3 , 0 , 12 , 1 , 0 , 16 , 1 , 0 , 1 , .268 , .377 , .380 , .757 , .367 , 121.2 , 0.53 , 0.60 
40,박건우,23NRF, 0.53 , 25 , 105 , 89 , 10 , 24 , 4 , 1 , 1 , 33 , 13 , 3 , 2 , 13 , 3 , 0 , 19 , 2 , 0 , 0 , .270 , .381 , .371 , .752 , .368 , 127.0 , 0.53 , -0.37 
41,이정후,23키CF, 0.52 , 22 , 102 , 87 , 11 , 19 , 2 , 0 , 3 , 30 , 13 , 1 , 0 , 14 , 1 , 2 , 9 , 0 , 0 , 0 , .218 , .333 , .345 , .678 , .324 , 102.8 , 0.52 , -0.08 
42,천재환,23NCF, 0.51 , 21 , 75 , 67 , 5 , 21 , 3 , 0 , 1 , 27 , 5 , 0 , 2 , 3 , 3 , 0 , 14 , 0 , 2 , 0 , .313 , .370 , .403 , .773 , .363 , 124.1 , 0.51 , 0.24 
43,박해민,23LCF, 0.50 , 26 , 96 , 87 , 13 , 28 , 4 , 0 , 3 , 41 , 14 , 2 , 4 , 5 , 0 , 0 , 16 , 1 , 4 , 0 , .322 , .359 , .471 , .830 , .375 , 136.1 , 0.50 , -0.10 
44,최주환,23S2B, 0.49 , 21 , 82 , 78 , 7 , 21 , 5 , 0 , 3 , 35 , 13 , 0 , 0 , 4 , 0 , 0 , 21 , 1 , 0 , 0 , .269 , .305 , .449 , .754 , .352 , 112.3 , 0.49 , 0.44 
45,김동엽,23삼DH, 0.47 , 11 , 37 , 33 , 6 , 11 , 1 , 0 , 3 , 21 , 9 , 1 , 1 , 3 , 1 , 0 , 6 , 2 , 0 , 0 , .333 , .405 , .636 , 1.042 , .477 , 190.2 , 0.47 , 0.40 
46,소크라테스,23KRF, 0.47 , 23 , 104 , 90 , 9 , 25 , 3 , 0 , 2 , 34 , 13 , 3 , 1 , 9 , 1 , 0 , 18 , 3 , 0 , 4 , .278 , .337 , .378 , .714 , .339 , 107.0 , 0.47 , 0.19 
47,김성욱,23NLF, 0.46 , 14 , 57 , 48 , 7 , 13 , 3 , 0 , 2 , 22 , 6 , 3 , 0 , 6 , 1 , 0 , 15 , 0 , 2 , 0 , .271 , .364 , .458 , .822 , .375 , 130.6 , 0.46 , 0.17 
48,고종욱,23KLF, 0.43 , 19 , 46 , 44 , 7 , 16 , 3 , 0 , 0 , 19 , 3 , 2 , 0 , 2 , 0 , 0 , 11 , 1 , 0 , 0 , .364 , .391 , .432 , .823 , .395 , 144.3 , 0.43 , 0.15 
49,손아섭,23NDH, 0.40 , 26 , 112 , 101 , 11 , 29 , 8 , 2 , 0 , 41 , 12 , 1 , 0 , 6 , 1 , 0 , 19 , 1 , 1 , 3 , .287 , .324 , .406 , .730 , .339 , 108.7 , 0.40 , 0.41 
50,김민성,23LSS, 0.38 , 24 , 78 , 66 , 11 , 17 , 3 , 0 , 0 , 20 , 10 , 2 , 0 , 9 , 2 , 0 , 12 , 2 , 0 , 1 , .258 , .359 , .303 , .662 , .331 , 99.2 , 0.38 , -0.52 
51,노진혁,23롯SS, 0.37 , 22 , 84 , 70 , 12 , 18 , 6 , 0 , 1 , 27 , 15 , 1 , 0 , 8 , 1 , 0 , 16 , 0 , 2 , 3 , .257 , .329 , .386 , .715 , .329 , 95.6 , 0.37 , 0.89 
52,김강민,23SCF, 0.37 , 12 , 28 , 21 , 5 , 7 , 0 , 0 , 1 , 10 , 2 , 0 , 0 , 6 , 0 , 0 , 6 , 0 , 0 , 1 , .333 , .464 , .476 , .941 , .443 , 171.5 , 0.37 , 0.07 
53,강승호,23두2B, 0.35 , 23 , 89 , 84 , 9 , 23 , 3 , 0 , 1 , 29 , 7 , 2 , 0 , 2 , 2 , 0 , 20 , 1 , 1 , 0 , .274 , .307 , .345 , .652 , .311 , 88.4 , 0.35 , -0.29 
54,장성우,23KC, 0.33 , 23 , 85 , 76 , 6 , 18 , 7 , 0 , 1 , 28 , 9 , 0 , 0 , 7 , 0 , 0 , 19 , 1 , 0 , 2 , .237 , .294 , .368 , .663 , .312 , 83.6 , 0.33 , -0.44 
55,전준우,23롯DH, 0.33 , 20 , 79 , 68 , 10 , 20 , 0 , 0 , 2 , 26 , 10 , 2 , 0 , 8 , 1 , 1 , 10 , 1 , 0 , 2 , .294 , .367 , .382 , .749 , .355 , 115.0 , 0.33 , 0.41 
56,이창진,23KLF, 0.33 , 21 , 92 , 78 , 10 , 21 , 1 , 1 , 0 , 24 , 8 , 2 , 0 , 11 , 1 , 0 , 16 , 0 , 1 , 1 , .269 , .363 , .308 , .670 , .330 , 101.3 , 0.33 , 0.29 
57,서호철,23N2B, 0.32 , 18 , 53 , 46 , 5 , 15 , 1 , 0 , 0 , 16 , 6 , 0 , 0 , 3 , 2 , 0 , 9 , 0 , 1 , 1 , .326 , .385 , .348 , .732 , .353 , 117.0 , 0.32 , 0.13 
58,피렐라,23삼LF, 0.32 , 23 , 104 , 95 , 16 , 24 , 2 , 0 , 4 , 38 , 14 , 1 , 1 , 8 , 1 , 1 , 16 , 5 , 0 , 0 , .253 , .317 , .400 , .717 , .338 , 100.3 , 0.32 , -0.18 
59,황성빈,23롯LF, 0.32 , 11 , 41 , 34 , 8 , 12 , 1 , 1 , 0 , 15 , 3 , 3 , 1 , 4 , 0 , 0 , 5 , 0 , 3 , 0 , .353 , .421 , .441 , .862 , .383 , 130.4 , 0.32 , 0.31 
60,추신수,23SDH, 0.28 , 22 , 98 , 76 , 15 , 14 , 1 , 0 , 3 , 24 , 4 , 3 , 0 , 18 , 4 , 0 , 15 , 1 , 0 , 0 , .184 , .367 , .316 , .683 , .346 , 105.8 , 0.28 , -0.03 
61,홍현빈,23KCF, 0.28 , 21 , 26 , 23 , 3 , 8 , 1 , 0 , 0 , 9 , 1 , 0 , 0 , 3 , 0 , 0 , 3 , 0 , 0 , 0 , .348 , .423 , .391 , .814 , .398 , 141.9 , 0.28 , -0.06 
62,박경수,23K2B, 0.28 , 20 , 55 , 46 , 4 , 13 , 4 , 0 , 0 , 17 , 1 , 0 , 0 , 8 , 0 , 1 , 9 , 0 , 1 , 0 , .283 , .389 , .370 , .759 , .358 , 113.7 , 0.28 , -0.09 
63,최재훈,23한C, 0.28 , 18 , 70 , 56 , 2 , 12 , 1 , 0 , 0 , 13 , 6 , 0 , 1 , 7 , 6 , 0 , 9 , 1 , 1 , 0 , .214 , .362 , .232 , .595 , .311 , 86.2 , 0.28 , -0.05 
64,박병호,23K1B, 0.26 , 22 , 89 , 78 , 7 , 21 , 1 , 0 , 2 , 28 , 14 , 1 , 0 , 7 , 2 , 0 , 23 , 4 , 0 , 2 , .269 , .337 , .359 , .696 , .335 , 101.5 , 0.26 , 0.56 
65,오태곤,23S1B, 0.25 , 21 , 55 , 50 , 6 , 14 , 3 , 1 , 2 , 25 , 9 , 1 , 0 , 2 , 0 , 0 , 12 , 1 , 2 , 1 , .280 , .302 , .500 , .802 , .352 , 115.2 , 0.25 , -0.08 
66,이지영,23키C, 0.24 , 22 , 65 , 60 , 3 , 16 , 1 , 0 , 0 , 17 , 2 , 1 , 0 , 4 , 0 , 0 , 9 , 2 , 1 , 0 , .267 , .313 , .283 , .596 , .290 , 74.8 , 0.24 , -0.70 
67,안치홍,23롯2B, 0.24 , 21 , 87 , 78 , 9 , 22 , 5 , 1 , 1 , 32 , 11 , 0 , 0 , 5 , 1 , 1 , 11 , 2 , 2 , 1 , .282 , .329 , .410 , .740 , .337 , 99.7 , 0.24 , 0.36 
68,김준태,23KC, 0.23 , 19 , 41 , 36 , 3 , 11 , 3 , 0 , 0 , 14 , 10 , 1 , 0 , 4 , 0 , 0 , 8 , 0 , 1 , 0 , .306 , .375 , .389 , .764 , .361 , 115.4 , 0.23 , 0.15 
69,박승욱,23롯2B, 0.22 , 15 , 16 , 16 , 3 , 7 , 1 , 0 , 0 , 8 , 1 , 1 , 0 , 0 , 0 , 0 , 3 , 2 , 0 , 0 , .438 , .438 , .500 , .938 , .449 , 174.7 , 0.22 , -0.06 
70,이천웅,23L, 0.16 , 4 , 3 , 3 , 0 , 3 , 0 , 0 , 0 , 3 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1.000 , 1.000 , 1.000 , 2.000 , .970 , 526.7 , 0.16 , 0.23 
71,변우혁,23K1B, 0.15 , 17 , 49 , 42 , 4 , 8 , 0 , 0 , 2 , 14 , 8 , 0 , 0 , 7 , 0 , 0 , 15 , 1 , 0 , 0 , .190 , .306 , .333 , .640 , .312 , 90.9 , 0.15 , 0.30 
72,신본기,23K3B, 0.15 , 14 , 34 , 28 , 3 , 6 , 1 , 0 , 1 , 10 , 3 , 0 , 0 , 4 , 2 , 0 , 4 , 3 , 0 , 0 , .214 , .353 , .357 , .710 , .350 , 112.8 , 0.15 , -0.30 
73,김상수,23KSS, 0.15 , 23 , 85 , 76 , 9 , 19 , 3 , 0 , 0 , 22 , 9 , 0 , 0 , 6 , 1 , 0 , 8 , 2 , 1 , 1 , .250 , .310 , .289 , .599 , .292 , 70.6 , 0.15 , -0.57 
74,김동헌,23키C, 0.14 , 15 , 35 , 28 , 3 , 6 , 2 , 0 , 0 , 8 , 1 , 0 , 0 , 2 , 4 , 0 , 5 , 0 , 0 , 1 , .214 , .343 , .286 , .629 , .318 , 91.1 , 0.14 , -0.13 
75,이재현,23삼SS, 0.13 , 24 , 89 , 80 , 9 , 19 , 2 , 0 , 2 , 27 , 10 , 0 , 1 , 6 , 1 , 0 , 17 , 2 , 2 , 0 , .238 , .299 , .338 , .636 , .301 , 77.2 , 0.13 , -0.07 
76,장승현,23두C, 0.13 , 11 , 22 , 21 , 2 , 4 , 0 , 0 , 2 , 10 , 6 , 0 , 0 , 1 , 0 , 0 , 4 , 0 , 0 , 0 , .190 , .227 , .476 , .704 , .319 , 100.2 , 0.13 , -0.06 
77,김태진,23키3B, 0.13 , 22 , 72 , 67 , 5 , 18 , 3 , 0 , 0 , 21 , 5 , 0 , 0 , 3 , 1 , 0 , 9 , 0 , 1 , 0 , .269 , .310 , .313 , .623 , .300 , 80.7 , 0.13 , -0.37 
78,윤형준,23N1B, 0.13 , 6 , 13 , 10 , 2 , 3 , 1 , 0 , 0 , 4 , 0 , 0 , 0 , 3 , 0 , 0 , 1 , 1 , 0 , 0 , .300 , .462 , .400 , .862 , .424 , 165.0 , 0.13 , 0.20 
79,김도영,23K3B, 0.13 , 2 , 8 , 8 , 1 , 4 , 0 , 0 , 0 , 4 , 1 , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , .500 , .500 , .500 , 1.000 , .485 , 205.4 , 0.13 , 0.05 
80,박세혁,23NC, 0.13 , 17 , 64 , 55 , 7 , 11 , 0 , 0 , 2 , 17 , 7 , 0 , 1 , 7 , 1 , 0 , 17 , 2 , 1 , 0 , .200 , .302 , .309 , .611 , .297 , 76.4 , 0.13 , -0.44 
81,노수광,23한LF, 0.13 , 22 , 72 , 57 , 4 , 12 , 4 , 0 , 0 , 16 , 3 , 2 , 1 , 13 , 0 , 0 , 21 , 2 , 1 , 1 , .211 , .352 , .281 , .633 , .316 , 89.5 , 0.13 , -0.58 
82,유강남,23롯C, 0.12 , 22 , 77 , 69 , 8 , 16 , 2 , 0 , 1 , 21 , 4 , 0 , 0 , 7 , 1 , 0 , 11 , 2 , 0 , 0 , .232 , .312 , .304 , .616 , .304 , 79.8 , 0.12 , -0.36 
83,박대온,23NC, 0.12 , 2 , 6 , 5 , 2 , 2 , 1 , 0 , 0 , 3 , 1 , 0 , 0 , 0 , 1 , 0 , 1 , 0 , 0 , 0 , .400 , .500 , .600 , 1.100 , .517 , 230.8 , 0.12 , 0.04 
84,이용규,23키LF, 0.11 , 22 , 85 , 70 , 9 , 17 , 0 , 1 , 0 , 19 , 5 , 0 , 1 , 13 , 0 , 0 , 11 , 2 , 1 , 1 , .243 , .357 , .271 , .629 , .315 , 90.6 , 0.11 , -0.30 
85,마틴,23NCF, 0.11 , 4 , 10 , 9 , 3 , 2 , 1 , 0 , 1 , 6 , 2 , 0 , 0 , 1 , 0 , 0 , 5 , 0 , 0 , 0 , .222 , .300 , .667 , .967 , .427 , 164.5 , 0.11 , 0.03 
86,임병욱,23키LF, 0.10 , 17 , 43 , 43 , 4 , 11 , 1 , 1 , 1 , 17 , 6 , 0 , 0 , 0 , 0 , 0 , 16 , 1 , 0 , 0 , .256 , .256 , .395 , .651 , .303 , 86.9 , 0.10 , -0.47 
87,박석민,23N3B, 0.10 , 15 , 53 , 44 , 5 , 11 , 0 , 0 , 1 , 14 , 6 , 0 , 0 , 7 , 0 , 0 , 10 , 3 , 1 , 1 , .250 , .346 , .318 , .664 , .321 , 93.7 , 0.10 , -0.59 
88,신민재,23LDH, 0.08 , 18 , 1 , 1 , 6 , 1 , 0 , 0 , 0 , 1 , 0 , 7 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1.000 , 1.000 , 1.000 , 2.000 , .970 , 526.7 , 0.08 , 0.23 
89,최상민,23SCF, 0.07 , 9 , 11 , 9 , 3 , 3 , 0 , 0 , 0 , 3 , 0 , 0 , 0 , 1 , 0 , 0 , 2 , 0 , 1 , 0 , .333 , .400 , .333 , .733 , .331 , 100.4 , 0.07 , -0.04 
90,이우성,23KRF, 0.07 , 14 , 24 , 24 , 2 , 7 , 2 , 0 , 1 , 12 , 4 , 1 , 0 , 0 , 0 , 0 , 7 , 2 , 0 , 0 , .292 , .292 , .500 , .792 , .366 , 127.3 , 0.07 , 0.16 
91,양찬열,23두RF, 0.06 , 15 , 26 , 24 , 7 , 7 , 0 , 1 , 0 , 9 , 3 , 0 , 0 , 1 , 0 , 0 , 5 , 0 , 0 , 1 , .292 , .308 , .375 , .683 , .318 , 90.7 , 0.06 , -0.38 
