date,team,1,2,3,4,5,6,7,8,9,선발투수
2022-04-02,한화,정은원,최재훈,터크먼,노시환,하주석,김태연,노수광,정민규,이원석,김민우
2022-04-02,두산,허경민,안재석,페르난데스,김재환,양석환,김인태,박세혁,강승호,정수빈,스탁
2022-04-02,SSG,추신수,최지훈,최정,한유섬,크론,오태곤,박성한,이재원,김성현,폰트
2022-04-02,NC,박건우,전민수,손아섭,마티니,박준영,오영수,서호철,박대온,김한별,루친스키
2022-04-02,삼성,김상수,김지찬,피렐라,강민호,김헌곤,김동엽,이재현,공민규,박승규,뷰캐넌
2022-04-02,KT,조용호,황재균,박병호,라모스,장성우,배정대,오윤석,김민혁,심우준,쿠에바스
2022-04-02,LG,박해민,송찬의,김현수,채은성,유강남,오지환,루이즈,이재원,서건창,플럿코
2022-04-02,KIA,김도영,소크라테스,김선빈,나성범,최형우,황대인,김석환,김민식,박찬호,양현종
2022-04-02,롯데,박승욱,안치홍,전준우,피터스,이대호,정훈,한동희,고승민,지시완,반즈
2022-04-02,키움,이용규,김혜성,이정후,푸이그,전병우,김주형,이명기,이지영,박찬혁,안우진
2022-04-03,한화,정은원,최재훈,터크먼,노시환,하주석,김태연,이성곤,이원석,임종찬,킹엄
2022-04-03,두산,허경민,안재석,페르난데스,김재환,양석환,김인태,강승호,박세혁,정수빈,최원준
2022-04-03,SSG,추신수,최지훈,최정,한유섬,크론,김강민,박성한,이재원,김성현,노경은
2022-04-03,NC,서호철,손아섭,박건우,마티니,정진기,박준영,오영수,박대온,도태훈,파슨스
2022-04-03,삼성,김지찬,이재현,피렐라,강민호,김헌곤,최영진,김재혁,김태군,오선진,수아레즈
2022-04-03,KT,조용호,황재균,박병호,라모스,장성우,배정대,오윤석,김민혁,심우준,배제성
2022-04-03,LG,박해민,서건창,김현수,채은성,유강남,오지환,루이즈,문보경,김민성,이민호
2022-04-03,KIA,김도영,소크라테스,김선빈,나성범,최형우,황대인,김석환,김민식,박찬호,놀린
2022-04-03,롯데,조세진,안치홍,전준우,피터스,이대호,정훈,한동희,정보근,박승욱,박세웅
2022-04-03,키움,이용규,김혜성,이정후,푸이그,전병우,송성문,김주형,김재현,박찬혁,요키시
2022-04-05,삼성,김지찬,오선진,피렐라,강민호,김헌곤,최영진,김재혁,김태군,이재현,원태인
2022-04-05,두산,허경민,안재석,페르난데스,김재환,양석환,김인태,오재원,박세혁,정수빈,이영하
2022-04-05,롯데,박승욱,안치홍,전준우,피터스,이대호,정훈,한동희,고승민,정보근,김진욱
2022-04-05,NC,손아섭,박준영,박건우,마티니,윤형준,오영수,서호철,박대온,도태훈,신민혁
2022-04-05,SSG,추신수,최지훈,최정,한유섬,크론,오태곤,박성한,이재원,김성현,노바
2022-04-05,KT,조용호,황재균,박병호,라모스,장성우,배정대,오윤석,김민혁,심우준,데스파이네
2022-04-05,한화,정은원,최재훈,터크먼,노시환,하주석,김태연,노수광,이성곤,장운호,윤대경
2022-04-05,KIA,소크라테스,김선빈,나성범,최형우,황대인,김석환,김도영,김민식,박찬호,로니
2022-04-05,LG,박해민,서건창,김현수,유강남,문보경,송찬의,루이즈,오지환,김민성,임찬규
2022-04-05,키움,이용규,전병우,이정후,푸이그,김혜성,김주형,송성문,김재현,박찬혁,애플러
2022-04-06,삼성,김지찬,오선진,피렐라,강민호,김헌곤,최영진,김현준,김재혁,이재현,양창섭
2022-04-06,두산,허경민,김인태,페르난데스,김재환,양석환,안재석,오재원,박세혁,조수행,곽빈
2022-04-06,롯데,이학주,안치홍,전준우,피터스,이대호,정훈,한동희,고승민,지시완,이인복
