date,team,1,2,3,4,5,6,7,8,9,선발투수
2023-04-01,롯데,안권수,안치홍,렉스,한동희,고승민,전준우,노진혁,유강남,황성빈,스트레일리
2023-04-01,두산,정수빈,허경민,로하스,김재환,양의지,강승호,양석환,김인태,이유찬,알칸타라
2023-04-01,한화,노수광,정은원,채은성,오그레디,노시환,이명기,최재훈,문현빈,박정현,스미스
2023-04-01,키움,이용규,김혜성,이정후,러셀,김태진,이형종,송성문,이지영,임지열,안우진
2023-04-01,KIA,박찬호,김도영,김선빈,소크라테스,황대인,최형우,이창진,한승택,김호령,앤더슨
2023-04-01,SSG,추신수,최지훈,최정,한유섬,에레디아,최주환,박성한,전의산,이재원,김광현
2023-04-01,LG,서건창,박해민,오스틴,박동원,오지환,김현수,송찬의,문보경,홍창기,켈리
2023-04-01,KT,조용호,강백호,알포드,박병호,장성우,황재균,김민혁,박경수,김상수,벤자민
2023-04-02,롯데,안권수,안치홍,렉스,전준우,고승민,한동희,노진혁,유강남,황성빈,나균안
2023-04-02,두산,정수빈,허경민,로하스,김재환,양의지,김인태,양석환,강승호,이유찬,최원준
2023-04-02,한화,이원석,정은원,노시환,채은성,오그레디,김태연,김인환,최재훈,오선진,김민우
2023-04-02,키움,김태진,김혜성,이정후,러셀,이형종,송성문,임지열,이지영,이용규,요키시
2023-04-02,KIA,박찬호,김도영,소크라테스,황대인,변우혁,이창진,김호령,한승택,김규성,이의리
2023-04-02,SSG,추신수,최지훈,에레디아,최정,김강민,오태곤,박성한,김성현,김민식,맥카티
2023-04-02,LG,서건창,문성주,김현수,오스틴,오지환,박동원,문보경,홍창기,박해민,김윤식
2023-04-02,KT,조용호,강백호,알포드,박병호,장성우,황재균,김민혁,박경수,김상수,소형준
2023-04-04,NC,박민우,박세혁,박건우,마틴,손아섭,박석민,오영수,김주원,김성욱,송명기
2023-04-04,두산,정수빈,허경민,로하스,김재환,양의지,김인태,신성현,안재석,이유찬,곽빈
2023-04-04,LG,서건창,문성주,김현수,오스틴,오지환,박동원,문보경,홍창기,박해민,플럿코
2023-04-04,키움,이용규,김혜성,김태진,러셀,이형종,김휘집,임지열,이지영,김준완,후라도
2023-04-04,롯데,안권수,안치홍,렉스,전준우,한동희,정훈,노진혁,유강남,신윤후,박세웅
2023-04-04,SSG,추신수,최지훈,최정,최주환,에레디아,한유섬,박성한,오태곤,김민식,오원석
2023-04-05,NC,박민우,박세혁,박건우,마틴,손아섭,박석민,오영수,김주원,김성욱,신민혁
2023-04-05,두산,정수빈,허경민,로하스,김재환,양의지,김인태,강승호,안재석,이유찬,최승용
2023-04-05,LG,홍창기,문성주,김현수,오스틴,오지환,박동원,문보경,서건창,박해민,이민호
2023-04-05,키움,이용규,김혜성,김웅빈,러셀,이형종,김태진,이지영,임병욱,김건희,최원태
2023-04-06,NC,손아섭,한석현,천재환,박건우,오영수,박석민,박세혁,김주원,서호철,이준호
2023-04-06,두산,정수빈,허경민,로하스,김재환,양의지,김인태,강승호,양석환,이유찬,김동주
2023-04-06,LG,홍창기,문성주,김현수,오스틴,오지환,박동원,문보경,서건창,박해민,강효종
2023-04-06,키움,이용규,김혜성,이정후,러셀,이형종,김웅빈,이지영,임병욱,김태진,장재영
2023-04-07,삼성,김지찬,구자욱,피렐라,이원석,오재일,김태군,강한울,이성규,이재현,양창섭
2023-04-07,LG,홍창기,문성주,김현수,오스틴,문보경,박동원,김민성,서건창,박해민,켈리
2023-04-07,SSG,추신수,최지훈,최정,최주환,에레디아,한유섬,박성한,오태곤,이재원,박종훈
2023-04-07,한화,노수광,정은원,노시환,채은성,오그레디,김태연,이명기,박상언,박정현,장민재
2023-04-07,두산,정수빈,허경민,로하스,김재환,양의지,양석환,김인태,강승호,이유찬,알칸타라
2023-04-07,KIA,박찬호,류지혁,소크라테스,최형우,변우혁,황대인,이창진,한승택,김규성,앤더슨
2023-04-07,KT,김민혁,강백호,알포드,박병호,장성우,황재균,조용호,박경수,김상수,고영표
2023-04-07,롯데,안권수,안치홍,렉스,전준우,고승민,한동희,노진혁,유강남,황성빈,한현희
2023-04-07,키움,김혜성,김웅빈,이정후,러셀,이지영,김태진,김휘집,임병욱,김준완,안우진
