팀,이름,WAR,출장,완투,완봉,선발,승,패,세이브,홀드,이닝,실점,자책,타자,안타,2타,3타,홈런,볼넷,고4,사구,삼진,보크,폭투,WPA
KIA,가뇽,2.84,28,0,0,28,11,8,0,0,159.2,86,77,702,162,33,8,7,64,0,9,141,0,13,-0.55
KIA,고영창,0.6300000000000001,99,0,0,0,1,4,1,8,105.1,70,64,487,142,28,0,5,37,2,10,38,2,6,-1.54
KIA,김기훈,0.8099999999999999,27,0,0,7,0,4,0,1,60.2,36,32,274,62,11,1,8,38,0,2,48,0,3,-0.8400000000000001
KIA,김도현,-0.06,4,0,0,2,0,1,0,0,10.2,7,7,48,14,1,0,2,5,0,0,11,0,0,-0.28
KIA,김명찬,-0.07,21,0,0,0,0,1,0,1,8.2,7,6,54,13,3,0,2,12,0,2,11,0,4,-1.53
KIA,김사윤,-0.23,31,0,0,0,3,0,0,2,27.0,21,21,128,23,5,2,2,24,0,4,23,0,3,-0.25
KIA,김승범,-0.01,1,0,0,0,0,0,0,0,1.0,1,1,5,1,0,0,0,2,0,0,0,0,1,0.0
KIA,김유신,-0.94,25,0,0,11,3,6,0,0,68.3,58,56,319,72,16,1,14,51,0,2,38,0,0,-1.59
KIA,김재열,-0.22,85,0,0,0,2,3,1,7,92.30000000000001,67,57,434,96,20,2,12,52,3,8,67,1,4,-0.63
KIA,김현수,-0.73,33,0,0,12,2,6,0,0,79.30000000000001,71,67,405,101,24,3,11,68,0,5,47,0,2,-1.4800000000000002
KIA,김현준,-0.72,46,0,0,0,1,2,0,3,47.5,47,41,231,54,13,2,6,30,3,3,40,0,0,-0.52
KIA,남재현,-0.30000000000000004,13,0,0,1,0,1,0,1,23.2,25,20,123,30,7,1,3,21,0,1,13,0,1,-0.12
KIA,남하준,-0.28,11,0,0,0,1,1,0,1,10.1,11,10,55,18,4,0,4,6,0,1,6,0,1,-0.38
KIA,놀린,3.49,21,0,0,21,8,8,0,0,124.0,41,34,512,115,19,2,7,24,1,8,108,1,4,1.79
KIA,다카하시,0.37,7,0,0,7,1,3,0,0,36.2,22,20,168,46,4,0,4,12,0,4,46,0,4,-0.32
KIA,로니,-0.78,10,0,0,9,3,3,0,0,44.1,36,29,208,47,7,1,7,28,0,3,32,1,2,-1.18
KIA,멩덴,3.09,21,0,0,21,8,3,0,0,120.0,53,48,502,109,18,2,12,35,0,8,104,3,2,0.51
KIA,문경찬,0.25,25,0,0,0,0,2,10,0,24.0,15,14,109,29,5,1,6,6,0,2,26,0,0,-0.21
KIA,박건우,0.13,3,0,0,0,0,0,0,0,3.0,0,0,11,2,0,0,0,1,0,1,3,0,0,0.01
KIA,박정수,0.18,7,0,0,0,0,0,0,1,7.1,3,3,28,5,2,1,1,4,0,1,5,0,0,-0.02
KIA,박준표,2.3800000000000003,116,0,0,0,10,5,6,23,106.30000000000001,55,44,475,110,16,1,10,35,5,17,73,0,2,-0.1399999999999999
KIA,박진태,-0.48,71,0,0,0,3,3,0,9,83.2,71,70,410,100,18,0,15,52,0,17,59,0,5,-1.1900000000000002
KIA,변시원,-0.09,5,0,0,0,1,0,0,0,5.2,6,4,32,9,1,0,0,6,0,1,1,0,0,-0.019999999999999997
KIA,브룩스,9.22,36,1,1,36,14,9,0,0,229.1,77,71,919,224,30,1,8,40,0,4,185,1,3,3.93
KIA,서덕원,-0.32999999999999996,35,0,0,0,1,0,0,1,44.400000000000006,40,39,207,50,10,1,12,18,0,3,30,0,6,-0.85
KIA,송후섭,-0.21,1,0,0,0,0,0,0,0,0.1,6,6,7,4,1,0,0,1,0,1,0,0,0,0.0
KIA,양승철,-0.17,15,0,0,1,0,0,0,0,28.2,26,25,144,41,9,0,4,24,0,3,13,0,3,-0.27
KIA,양현종,4.2,61,0,0,61,23,17,0,0,347.2,185,165,1489,350,73,7,27,114,1,8,290,0,10,-0.71
KIA,유승철,-0.69,21,0,0,0,3,0,0,0,19.0,20,16,93,21,5,0,5,16,1,0,14,0,8,0.05
KIA,윤중현,1.43,77,0,0,13,8,7,0,7,135.4,76,66,613,154,15,1,11,45,0,19,60,0,3,-0.96
KIA,이민우,-2.21,39,1,0,35,7,17,0,0,167.0,147,138,785,217,33,7,19,81,0,13,96,1,5,-5.05
KIA,이승재,-0.33999999999999997,26,0,0,0,2,1,0,5,25.0,20,20,122,26,2,0,5,18,0,4,18,1,3,-0.42
KIA,이의리,3.6100000000000003,48,0,0,47,14,15,0,0,248.2,121,104,1075,197,37,4,24,130,0,11,254,0,12,-0.22000000000000003
KIA,이준영,1.62,173,0,0,1,4,5,2,39,104.5,56,51,474,102,18,1,7,58,4,0,90,0,6,-0.75
KIA,임기영,4.98,79,0,0,76,21,31,1,0,409.29999999999995,228,217,1776,444,80,5,45,114,1,25,317,3,11,-1.62
KIA,장민기,0.43,21,0,0,0,2,1,0,2,23.1,11,9,114,13,3,1,1,29,0,4,22,0,2,-0.67
KIA,장재혁,0.0,3,0,0,0,0,0,0,0,3.0,2,2,15,3,0,0,0,3,0,0,4,0,3,-0.02
KIA,장지수,0.41000000000000003,10,0,0,0,0,0,0,0,16.1,6,5,76,11,2,0,1,14,0,3,6,0,2,0.04999999999999999
KIA,장현식,2.7300000000000004,151,0,0,3,6,12,2,59,159.3,90,86,728,173,31,4,18,84,4,6,142,0,21,-0.31999999999999995
KIA,전상현,2.9000000000000004,112,0,0,0,8,7,17,36,106.30000000000001,47,35,452,92,19,1,7,44,2,0,125,0,5,2.87
