순위,이름,팀,WAR,출장,완투,완봉,선발,승,패,세이브,홀드,이닝,실점,자책,타자,안타,2타,3타,홈런,볼넷,고4,사구,삼진,보크,폭투,ERA,FIP,WHIP,ERA+,FIP+,WPA
1,미란다,21두, 7.09 , 28 , 1 , 1 , 28 , 14 , 5 , 0 , 0 , 173.2 , 49 , 45 , 709 , 135 , 21 , 1 , 11 , 63 , 0 , 1 , 225 , 1 , 7 , 2.33 , 2.67 , 1.14 , 185.0 , 161.1 , 3.27 
2,백정현,21삼, 5.28 , 27 , 0 , 0 , 27 , 14 , 5 , 0 , 0 , 157.2 , 54 , 46 , 648 , 142 , 25 , 1 , 15 , 54 , 2 , 2 , 109 , 0 , 5 , 2.63 , 4.21 , 1.24 , 171.9 , 107.3 , 1.78 
3,고영표,21K, 5.23 , 26 , 1 , 1 , 25 , 11 , 6 , 0 , 1 , 166.2 , 59 , 54 , 664 , 147 , 20 , 2 , 9 , 27 , 1 , 14 , 130 , 0 , 1 , 2.92 , 3.19 , 1.04 , 154.0 , 139.2 , 2.27 
4,켈리,21L, 4.96 , 30 , 0 , 0 , 30 , 13 , 8 , 0 , 0 , 177.0 , 64 , 62 , 744 , 160 , 25 , 0 , 12 , 60 , 3 , 11 , 142 , 1 , 7 , 3.15 , 3.76 , 1.24 , 136.8 , 115.1 , 1.61 
5,원태인,21삼, 4.76 , 26 , 0 , 0 , 26 , 14 , 7 , 0 , 0 , 158.2 , 59 , 54 , 655 , 147 , 32 , 1 , 11 , 51 , 1 , 5 , 129 , 1 , 5 , 3.06 , 3.65 , 1.25 , 147.4 , 123.4 , 2.41 
6,요키시,21키, 4.66 , 31 , 0 , 0 , 31 , 16 , 9 , 0 , 0 , 181.1 , 71 , 59 , 739 , 171 , 24 , 0 , 12 , 46 , 2 , 4 , 131 , 0 , 9 , 2.93 , 3.54 , 1.20 , 151.4 , 122.4 , 1.62 
7,뷰캐넌,21삼, 4.55 , 30 , 1 , 1 , 30 , 16 , 5 , 0 , 0 , 177.0 , 71 , 61 , 758 , 173 , 25 , 4 , 13 , 59 , 2 , 2 , 162 , 0 , 7 , 3.10 , 3.46 , 1.31 , 145.5 , 130.3 , 1.66 
8,루친스키,21N, 4.48 , 30 , 0 , 0 , 30 , 15 , 10 , 0 , 0 , 178.2 , 76 , 63 , 754 , 160 , 24 , 1 , 12 , 55 , 0 , 10 , 177 , 2 , 6 , 3.17 , 3.32 , 1.20 , 143.1 , 135.9 , 1.88 
9,수아레즈,21L, 4.43 , 23 , 0 , 0 , 22 , 10 , 2 , 0 , 0 , 115.1 , 33 , 28 , 473 , 91 , 16 , 2 , 4 , 41 , 0 , 4 , 126 , 0 , 2 , 2.18 , 2.77 , 1.15 , 197.4 , 157.7 , 2.60 
10,최원준,21두, 4.13 , 29 , 0 , 0 , 29 , 12 , 4 , 0 , 0 , 158.1 , 65 , 58 , 673 , 160 , 31 , 4 , 15 , 37 , 1 , 10 , 113 , 0 , 0 , 3.30 , 4.01 , 1.24 , 130.8 , 107.1 , 1.17 
11,로켓,21두, 4.10 , 21 , 1 , 0 , 21 , 9 , 9 , 0 , 0 , 124.0 , 44 , 41 , 540 , 132 , 20 , 2 , 5 , 42 , 1 , 12 , 112 , 1 , 1 , 2.98 , 3.33 , 1.40 , 144.9 , 130.9 , 1.00 
12,데스파이네,21K, 4.01 , 33 , 0 , 0 , 33 , 13 , 10 , 0 , 0 , 188.2 , 81 , 71 , 819 , 175 , 30 , 3 , 10 , 78 , 0 , 7 , 165 , 0 , 15 , 3.39 , 3.62 , 1.34 , 132.6 , 122.7 , 0.79 
13,박세웅,21롯, 4.01 , 28 , 1 , 1 , 28 , 10 , 9 , 0 , 0 , 163.0 , 75 , 72 , 685 , 141 , 24 , 0 , 20 , 53 , 0 , 10 , 125 , 0 , 17 , 3.98 , 4.55 , 1.19 , 114.3 , 98.1 , -0.23 
14,정해영,21K, 3.79 , 64 , 0 , 0 , 0 , 5 , 4 , 34 , 0 , 65.1 , 18 , 16 , 272 , 49 , 10 , 0 , 5 , 28 , 1 , 4 , 49 , 0 , 1 , 2.20 , 4.25 , 1.18 , 201.8 , 104.7 , 2.88 
15,킹엄,21한, 3.72 , 25 , 0 , 0 , 25 , 10 , 8 , 0 , 0 , 144.0 , 58 , 51 , 591 , 117 , 22 , 0 , 11 , 41 , 1 , 5 , 131 , 2 , 4 , 3.19 , 3.44 , 1.10 , 137.4 , 129.2 , 1.60 
16,파슨스,21N, 3.71 , 24 , 1 , 0 , 24 , 4 , 8 , 0 , 0 , 133.0 , 56 , 55 , 577 , 109 , 16 , 2 , 9 , 63 , 0 , 11 , 148 , 1 , 10 , 3.72 , 3.66 , 1.29 , 122.0 , 123.3 , 0.50 
17,정우영,21L, 3.21 , 70 , 0 , 0 , 0 , 7 , 3 , 2 , 27 , 65.0 , 16 , 16 , 263 , 43 , 9 , 0 , 0 , 26 , 1 , 8 , 41 , 0 , 2 , 2.22 , 3.59 , 1.06 , 194.7 , 123.3 , 1.94 
18,고우석,21L, 3.13 , 63 , 0 , 0 , 0 , 1 , 5 , 30 , 0 , 58.0 , 15 , 14 , 240 , 47 , 10 , 1 , 3 , 23 , 5 , 3 , 68 , 0 , 1 , 2.17 , 2.75 , 1.21 , 198.6 , 157.6 , -0.20 
19,강재민,21한, 3.12 , 58 , 0 , 0 , 0 , 2 , 1 , 5 , 13 , 63.1 , 16 , 15 , 269 , 51 , 13 , 0 , 2 , 26 , 3 , 5 , 55 , 1 , 1 , 2.13 , 3.33 , 1.22 , 205.5 , 133.7 , 1.10 
20,멩덴,21K, 3.09 , 21 , 0 , 0 , 21 , 8 , 3 , 0 , 0 , 120.0 , 53 , 48 , 502 , 109 , 18 , 2 , 12 , 35 , 0 , 8 , 104 , 3 , 2 , 3.60 , 3.97 , 1.20 , 123.5 , 111.9 , 0.51 
21,김재윤,21K, 3.08 , 65 , 0 , 0 , 0 , 4 , 3 , 32 , 0 , 67.0 , 19 , 18 , 275 , 57 , 8 , 0 , 5 , 24 , 4 , 0 , 64 , 0 , 2 , 2.42 , 3.29 , 1.21 , 185.8 , 135.2 , 1.38 
22,오승환,21삼, 3.03 , 64 , 0 , 0 , 0 , 0 , 2 , 44 , 0 , 62.0 , 17 , 14 , 252 , 56 , 15 , 3 , 3 , 16 , 3 , 2 , 57 , 0 , 2 , 2.03 , 2.85 , 1.16 , 222.1 , 157.9 , 4.31 
23,스트레일리,21롯, 3.02 , 31 , 0 , 0 , 31 , 10 , 12 , 0 , 0 , 165.2 , 85 , 75 , 714 , 162 , 25 , 2 , 12 , 66 , 0 , 8 , 164 , 1 , 8 , 4.07 , 3.63 , 1.38 , 111.5 , 122.8 , 0.14 
24,폰트,21S, 2.94 , 26 , 0 , 0 , 26 , 8 , 5 , 0 , 0 , 145.2 , 66 , 56 , 604 , 114 , 22 , 1 , 12 , 45 , 1 , 6 , 157 , 1 , 2 , 3.46 , 3.28 , 1.09 , 129.7 , 139.2 , 0.56 
25,김민우,21한, 2.93 , 29 , 0 , 0 , 28 , 14 , 10 , 0 , 0 , 155.1 , 71 , 69 , 662 , 131 , 23 , 1 , 15 , 76 , 1 , 7 , 125 , 1 , 5 , 4.00 , 4.56 , 1.33 , 109.6 , 97.7 , 0.39 
