순위,이름,팀,WAR,타격,도루,주루,수비,Rep.Wins,Pos.Wins,WAA_투수_선발,WAA_투수_구원,Rep.wins_선발,Rep.wins_구원,WAR_투수_선발,WAR_투수_구원
1,이정후,22키CF,10.25,6.01,0.07,0.42,1.02,2.61,0.12,0.00,0.00,0.00,0.00,0.00,0.00
2,안우진,22키P,7.92,0.00,0.00,0.00,0.00,0.00,0.00,5.31,0.00,2.61,0.00,7.92,0.00
3,피렐라,22삼LF,7.77,5.07,0.06,0.42,0.37,2.62,-0.78,0.00,0.00,0.00,0.00,0.00,0.00
4,최지훈,22SCF,6.69,1.55,0.31,0.25,1.91,2.67,-0.01,0.00,0.00,0.00,0.00,0.00,0.00
5,오지환,22LSS,6.44,2.58,0.08,0.13,0.67,2.37,0.60,0.00,0.00,0.00,0.00,0.00,0.00
6,나성범,22KRF,6.29,4.33,0.04,0.16,-0.21,2.70,-0.74,0.00,0.00,0.00,0.00,0.00,0.00
7,김광현,22SP,6.10,0.00,0.00,0.00,0.00,0.00,0.00,3.79,0.00,2.31,0.00,6.10,0.00
8,김혜성,22키2B,5.93,1.58,0.37,0.34,1.13,2.36,0.16,0.00,0.00,0.00,0.00,0.00,0.00
9,요키시,22키P,5.68,0.00,0.00,0.00,0.00,0.00,0.00,3.21,0.00,2.47,0.00,5.68,0.00
10,최정,22S3B,5.54,2.68,0.01,0.21,0.39,2.10,0.14,0.00,0.00,0.00,0.00,0.00,0.00
11,수아레즈,22삼P,5.28,0.00,0.00,0.00,0.00,0.00,0.00,2.83,0.13,2.28,0.03,5.11,0.16
12,폰트,22SP,5.19,0.00,0.00,0.00,0.00,0.00,0.00,2.73,0.00,2.45,0.00,5.19,0.00
,켈리,22LP,5.19,0.00,0.00,0.00,0.00,0.00,0.00,2.97,0.00,2.22,0.00,5.19,0.00
14,박해민,22LCF,5.10,0.25,0.21,0.15,1.65,2.65,0.19,0.00,0.00,0.00,0.00,0.00,0.00
