,순_투,G_타,타석_타,타수_타,득점_타,안타_타,2타_타,3타_타,홈런_타,루타_타,타점_타,도루_타,도실_타,볼넷_타,사구_타,고4_타,삼진_타,병살_타,희타_타,희비_타,타율_타,출루_타,장타_타,OPS_타,wOBA_타,wRC+_타,WAR*_타,WPA_타,순_타,출장_투,완투_투,완봉_투,선발_투,승_투,패_투,세_투,홀드_투,이닝_투,실점_투,자책_투,타자_투,안타_투,2타_투,3타_투,홈런_투,볼넷_투,고4_투,사구_투,삼진_투,보크_투,폭투_투,ERA_투,FIP_투,WHIP_투,ERA+_투,FIP+_투,WAR_투,WPA_투,순_수,출장_수,선발_수,이닝_수,기회_수,자살_수,보살_수,실책_수,수비율_수,RF9_수,RNG,ARM,CS,BLK,E+,RAA,/133,POSADJ_수,RAAwithADJ_수,WAAw/oADJ_수,WAAwithADJ_수,승,패,무,승률,홈_승률,방문_승률,vs_KIA_승률,vs_두산_승률,vs_롯데_승률,vs_NC_승률,vs_SSG_승률,vs_LG_승률,vs_키움_승률,vs_한화_승률,vs_삼성_승률,vs_KT_승률,팀명_KIA,팀명_KT,팀명_LG,팀명_NC,팀명_SSG,팀명_두산,팀명_롯데,팀명_삼성,팀명_키움,팀명_한화
0,1.0,1825.0,5833.0,5102.0,849.0,1499.0,270.0,20.0,178.0,2343.0,812.0,69.0,33.0,541.0,95.0,19.0,960.0,120.0,48.0,47.0,0.294,0.369,0.459,0.828,0.364,116.5,34.75,17.72,2.0,590.0,3.0,2.0,144.0,84.0,57.0,35.0,46.0,1288.0,678.0,627.0,5682.0,1405.0,234.0,31.0,125.0,464.0,11.0,87.0,956.0,4.0,54.0,4.38,4.77,1.45,109.9,101.2,21.48,-3.94,3.0,2126.0,1296.0,11592.0,5424.0,3864.0,1470.0,90.0,0.983,4.14,8.39,-0.69,-0.18,2.05,1.79,11.36,1.17,-0.35,11.01,1.065,1.065,84,57,3,0.596,0.5652173913043478,0.625,0.5333333333333333,0.5,0.5,0.6875,0.5,0.6,0.5,0.5625,0.8,0.6875,0,0,0,0,0,1,0,0,0,0
1,2.0,1933.0,5841.0,5142.0,906.0,1554.0,292.0,29.0,170.0,2414.0,868.0,76.0,34.0,499.0,89.0,19.0,891.0,118.0,55.0,56.0,0.302,0.37,0.469,0.84,0.367,113.1,31.23,20.61,3.0,582.0,5.0,2.0,144.0,87.0,56.0,33.0,46.0,1290.0,743.0,691.0,5748.0,1518.0,255.0,21.0,137.0,434.0,22.0,77.0,985.0,4.0,69.0,4.82,4.73,1.51,103.1,105.5,19.33,-5.01,4.0,2193.0,1296.0,11610.0,5463.0,3870.0,1495.0,98.0,0.982,4.16,-2.5,8.46,0.96,-0.07,0.22,7.08,0.73,-0.21,6.87,0.674,0.674,87,56,1,0.608,0.625,0.5915492957746479,0.5,0.4666666666666667,0.5625,0.5625,0.5625,0.625,0.625,0.6875,0.75,0.625,1,0,0,0,0,0,0,0,0,0
2,3.0,1987.0,5790.0,5079.0,786.0,1489.0,277.0,19.0,149.0,2251.0,739.0,93.0,32.0,471.0,130.0,19.0,979.0,119.0,62.0,48.0,0.293,0.365,0.443,0.808,0.356,106.6,26.42,12.44,7.0,620.0,1.0,0.0,144.0,79.0,62.0,32.0,51.0,1284.2,745.0,673.0,5640.0,1342.0,208.0,9.0,169.0,470.0,12.0,93.0,1097.0,3.0,93.0,4.71,5.02,1.41,105.3,99.6,16.45,-3.91,2.0,2244.0,1296.0,11562.0,5389.0,3854.0,1427.0,108.0,0.98,4.11,20.94,5.78,0.31,-0.94,-1.86,24.22,2.51,-0.34,23.89,2.233,2.233,79,62,3,0.56,0.6197183098591549,0.5,0.4375,0.3125,0.4375,0.5,0.5625,0.6875,0.75,0.6,0.5,0.75,0,0,0,1,0,0,0,0,0,0
3,4.0,1813.0,5712.0,5098.0,789.0,1479.0,267.0,30.0,141.0,2229.0,748.0,70.0,34.0,468.0,83.0,15.0,1066.0,129.0,21.0,42.0,0.29,0.357,0.437,0.794,0.353,103.0,23.49,10.04,5.0,554.0,2.0,1.0,144.0,69.0,73.0,40.0,66.0,1271.0,764.0,714.0,5663.0,1488.0,280.0,21.0,149.0,388.0,10.0,97.0,1005.0,3.0,56.0,5.06,4.8,1.48,98.4,102.1,18.48,-12.17,9.0,2029.0,1296.0,11439.0,5325.0,3813.0,1421.0,91.0,0.983,4.12,-21.43,-7.51,0.54,1.36,1.33,-25.71,-2.69,-0.21,-25.92,-2.349,-2.349,69,73,2,0.486,0.5571428571428572,0.4166666666666667,0.375,0.5,0.375,0.25,0.6,0.3333333333333333,0.5,0.625,0.6875,0.625,0,0,0,0,0,0,0,0,1,0
4,5.0,1772.0,5564.0,4925.0,761.0,1337.0,222.0,15.0,234.0,2291.0,733.0,53.0,42.0,427.0,113.0,20.0,1100.0,97.0,57.0,41.0,0.271,0.341,0.465,0.806,0.349,99.3,20.13,12.43,6.0,608.0,2.0,1.0,144.0,75.0,68.0,30.0,64.0,1270.2,767.0,710.0,5692.0,1443.0,271.0,17.0,154.0,481.0,35.0,105.0,940.0,7.0,61.0,5.03,5.13,1.51,100.1,98.6,17.22,-9.09,6.0,2107.0,1296.0,11436.0,5469.0,3811.0,1550.0,108.0,0.98,4.22,0.3,0.32,-0.22,1.03,-2.07,-0.65,-0.07,-0.22,-0.87,-0.052,-0.052,75,68,1,0.524,0.5833333333333334,0.4647887323943662,0.4375,0.5,0.4375,0.4375,0.5,0.5625,0.4,0.6875,0.6875,0.5625,0,0,0,0,1,0,0,0,0,0
5,6.0,1844.0,5671.0,4994.0,743.0,1425.0,250.0,17.0,151.0,2162.0,697.0,92.0,44.0,457.0,112.0,33.0,1018.0,146.0,76.0,32.0,0.285,0.356,0.433,0.789,0.347,98.1,19.89,12.54,1.0,623.0,1.0,0.0,144.0,80.0,62.0,39.0,59.0,1287.1,701.0,653.0,5634.0,1357.0,245.0,20.0,162.0,477.0,25.0,79.0,1096.0,7.0,67.0,4.57,4.91,1.43,110.4,102.6,25.17,-3.64,7.0,2126.0,1296.0,11586.0,5456.0,3862.0,1508.0,86.0,0.984,4.17,-3.27,1.21,-0.55,-0.69,2.58,-0.72,-0.07,-0.27,-0.99,-0.071,-0.071,80,62,2,0.563,0.6428571428571429,0.4861111111111111,0.4375,0.5,0.5,0.5625,0.5625,0.5333333333333333,0.625,0.6875,0.4666666666666667,0.6875,0,0,0,0,0,0,1,0,0,0
6,7.0,1787.0,5665.0,5030.0,737.0,1445.0,261.0,16.0,150.0,2188.0,684.0,64.0,44.0,416.0,94.0,15.0,974.0,112.0,85.0,38.0,0.287,0.351,0.435,0.786,0.344,96.8,17.46,8.18,8.0,634.0,1.0,0.0,144.0,61.0,81.0,31.0,49.0,1273.0,820.0,749.0,5698.0,1474.0,278.0,16.0,166.0,446.0,13.0,100.0,914.0,4.0,77.0,5.3,5.25,1.51,95.0,96.4,13.7,-18.16,8.0,2126.0,1296.0,11457.0,5410.0,3819.0,1500.0,91.0,0.983,4.18,-7.21,-8.37,-0.09,-0.95,1.36,-15.26,-1.59,-0.41,-15.67,-1.392,-1.392,61,81,2,0.43,0.4225352112676056,0.43661971830985913,0.3125,0.4375,0.3125,0.4,0.3125,0.5625,0.375,0.5,0.4,0.75,0,0,0,0,0,0,0,0,0,1
7,8.0,1786.0,5707.0,5095.0,757.0,1419.0,255.0,36.0,145.0,2181.0,703.0,98.0,37.0,429.0,70.0,17.0,983.0,97.0,58.0,55.0,0.279,0.34,0.428,0.768,0.337,92.7,16.82,5.87,10.0,613.0,1.0,0.0,144.0,55.0,84.0,27.0,34.0,1281.1,911.0,840.0,5916.0,1541.0,281.0,28.0,187.0,548.0,15.0,118.0,1063.0,4.0,74.0,5.9,5.5,1.63,86.0,91.7,6.78,-20.24,5.0,2086.0,1296.0,11532.0,5391.0,3844.0,1452.0,95.0,0.982,4.13,1.57,4.06,-0.33,-0.64,0.69,5.34,0.55,-0.47,4.87,0.523,0.523,55,84,5,0.396,0.4,0.391304347826087,0.25,0.2,0.5333333333333333,0.5,0.3125,0.375,0.3125,0.6,0.5,0.5,0,0,0,0,0,0,0,1,0,0
8,9.0,1896.0,5614.0,4944.0,699.0,1390.0,216.0,20.0,110.0,1976.0,664.0,77.0,56.0,438.0,101.0,17.0,1021.0,123.0,76.0,55.0,0.281,0.348,0.4,0.748,0.333,93.0,15.86,3.6,4.0,619.0,4.0,1.0,144.0,69.0,72.0,32.0,66.0,1279.0,677.0,614.0,5507.0,1305.0,249.0,29.0,124.0,379.0,31.0,102.0,1040.0,3.0,81.0,4.32,4.43,1.32,112.0,109.1,19.16,-5.25,1.0,2203.0,1296.0,11511.0,5375.0,3837.0,1435.0,103.0,0.981,4.12,39.24,0.0,-0.35,-0.38,-0.95,37.57,3.91,-0.02,37.55,3.503,3.503,69,72,3,0.489,0.5277777777777778,0.4492753623188406,0.375,0.4,0.4666666666666667,0.3125,0.4375,0.5,0.6666666666666666,0.4375,0.625,0.6875,0,0,1,0,0,0,0,0,0,0
9,10.0,1864.0,5484.0,4936.0,655.0,1360.0,274.0,17.0,119.0,2025.0,625.0,86.0,51.0,374.0,66.0,11.0,1017.0,118.0,62.0,45.0,0.276,0.332,0.41,0.742,0.328,84.3,9.68,-2.29,9.0,588.0,4.0,2.0,144.0,50.0,94.0,22.0,41.0,1256.0,876.0,806.0,5702.0,1524.0,283.0,27.0,174.0,433.0,11.0,95.0,913.0,6.0,77.0,5.78,5.32,1.56,87.8,93.8,13.18,-19.75,10.0,2102.0,1296.0,11304.0,5336.0,3768.0,1456.0,112.0,0.979,4.16,-35.67,-5.26,-2.7,-0.77,-3.1,-47.5,-5.03,-0.07,-47.57,-4.38,-4.38,50,94,0,0.347,0.375,0.3194444444444444,0.375,0.3125,0.3125,0.25,0.4375,0.3125,0.375,0.25,0.5,0.5,0,1,0,0,0,0,0,0,0,0
